title,author,venue,year,class
Data integration and warehousing in Telecom Italia,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data,1999,ID186
Improving OLTP data quality using data warehouse mechanisms,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data,1999,ID229
SERF: ODMG-based generic re-structuring facility,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",International Conference on Management of Data,1999,ID233
"PowerBookmarks: a system for personalizable Web information organization, sharing, and management","Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data,1999,ID232
The Aqua approximate query answering system,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999,ID235
TAM: a system for dynamic transactional activity management,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data,1999,ID234
Exploratory mining via constrained frequent set queries,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",International Conference on Management of Data,1999,ID192
Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,1999,ID191
Phoenix: making applications robust,"Roger Barga, David B. Lomet",International Conference on Management of Data,1999,ID231
Nodose version 2.0,"Brad Adelberg, Matthew Denny",International Conference on Management of Data,1999,ID230
Bringing object-relational technology to the mainstream,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",International Conference on Management of Data,1999,ID182
Implementing the spirit of SQL-99,Paul Brown,International Conference on Management of Data,1999,ID223
Managing Web data,Dan Suciu,International Conference on Management of Data,1999,ID221
"O-O, what's happening to DB2?","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data,1999,ID222
Hypertext databases and data mining,Soumen Chakrabarti,International Conference on Management of Data,1999,ID220
Clustering methods for large databases: from the past to the future,"Alexander Hinneburg, Daniel A. Keim",International Conference on Management of Data,1999,ID181
Petabyte databases,Dirk D&#252;llmann,International Conference on Management of Data,1999,ID219
A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999,ID180
Microsoft site server (commerce ed.): Talk-slides available at the conference,Bassel Ojjeh,International Conference on Management of Data,1999,ID2216
E-commerce database issues and experience: (talk-slides available at at the conference),Anand Rajaraman,International Conference on Management of Data,1999,ID2206
Merge replication in Microsoft's SQL server 7.0,Brad Hammond,International Conference on Management of Data,1999,ID225
In-memory data management for consumer transactions the timesten approach,CORPORATE TimesTen Team,International Conference on Management of Data,1999,ID226
EMC information sharing: direct access to MVS data from UNIX and NT,Walt Kohler,International Conference on Management of Data,1999,ID184
Daytona and the foruth-generation language cymbal,Rick Greer,International Conference on Management of Data,1999,ID185
DataBlitz storage manager: main-memory database performance for critical applications,"J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar",International Conference on Management of Data,1999,ID183
Indexing medium-dimensionality data in Oracle,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",International Conference on Management of Data,1999,ID224
Storing semistructured data with STORED,"Alin Deutsch, Mary Fernandez, Dan Suciu",International Conference on Management of Data,1999,ID215
Efficient geometry-based similarity search of 3D spatial databases,Daniel A. Keim,International Conference on Management of Data,1999,ID175
A new method for similarity indexing of market basket data,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",International Conference on Management of Data,1999,ID174
WALRUS: a similarity retrieval algorithm for image databases,"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999,ID214
Shrinking the warehouse update Window,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",International Conference on Management of Data,1999,ID213
DynaMat: a dynamic view management system for data warehouses,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data,1999,ID173
Bottom-up computation of sparse and Iceberg CUBE,"Kevin Beyer, Raghu Ramakrishnan",International Conference on Management of Data,1999,ID172
Client-site query extensions,"Tobias Mayr, Praveen Seshadri",International Conference on Management of Data,1999,ID171
Data management issues in electronic commerce,M. Tamer &#214;zsu,International Conference on Management of Data,1999,ID179
"Of crawlers, portals, mice, and men: is there more to mining the Web?","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999,ID218
"Honey, I shrunk the database: footprint, mobility, and beyond",Praveen Seshadri,International Conference on Management of Data,1999,ID2196
A layered architecture for querying dynamic Web content,"Hasan Davulcu, Juliana Freire, Michael Kifer, I. V. Ramakrishnan",International Conference on Management of Data,1999,ID178
Automatic discovery of language models for text databases,"Jamie Callan, Margaret Connell, Aiqun Du",International Conference on Management of Data,1999,ID177
Record-boundary discovery in Web documents,"D. W. Embley, Y. Jiang, Y.-K. Ng",International Conference on Management of Data,1999,ID217
Query rewriting for semistructured data,"Yannis Papakonstantinou, Vasilis Vassalos",International Conference on Management of Data,1999,ID216
Computing capabilities of mediators,"Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",International Conference on Management of Data,1999,ID176
High speed on-line backup when using logical log operations,David B. Lomet,International Conference on Management of Data,2000,ID84
Efficient resumption of interrupted warehouse loads,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",International Conference on Management of Data,2000,ID85
On-line reorganization in object databases,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data,2000,ID118
Finding generalized projected clusters in high dimensional spaces,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2000,ID86
Density biased sampling: an improved method for data mining and clustering,"Christopher R. Palmer, Christos Faloutsos",International Conference on Management of Data,2000,ID87
LOF: identifying density-based local outliers,"Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246;rg Sander",International Conference on Management of Data,2000,ID119
Answering complex SQL queries using automatic summary tables,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",International Conference on Management of Data,2000,ID88
Synchronizing a database to improve freshness,"Junghoo Cho, Hector Garcia-Molina",International Conference on Management of Data,2000,ID120
How to roll a join: asynchronous incremental view maintenance,"Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane",International Conference on Management of Data,2000,ID121
On wrapping query languages and efficient XML integration,"Vassilis Christophides, Sophie Cluet, J&#233;r&#466;me Sim&#232;on",International Conference on Management of Data,2000,ID122
XMill: an efficient compressor for XML data,"Hartmut Liefke, Dan Suciu",International Conference on Management of Data,2000,ID123
XTRACT: a system for extracting document type descriptors from XML documents,"Minos Garofalakis, Aristides Gionis, Rajeev Rastogi, S. Seshadri, Kyuseok Shim",International Conference on Management of Data,2000,ID124
Spatial join selectivity using power laws,"Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr.",International Conference on Management of Data,2000,ID125
MOCHA: a self-extensible database middleware system for distributed data sources,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos",International Conference on Management of Data,2000,ID127
Closest pair queries in spatial databases,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",International Conference on Management of Data,2000,ID89
Influence sets based on reverse nearest neighbor queries,"Flip Korn, S. Muthukrishnan",International Conference on Management of Data,2000,ID126
Security of random data perturbation methods,"Krishnamurty Muralidhar, Rathindra Sarathy",ACM Transactions on Database Systems (TODS) ,1999,ID1257
Improving database design through the analysis of relationships,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS) ,1999,ID1256
The SIFT information dissemination system,"Tak W. Yan, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS) ,1999,ID1259
An ontological analysis of the relationship construct in conceptual modeling,"Yair Wand, Veda C. Storey, Ron Weber",ACM Transactions on Database Systems (TODS) ,1999,ID1258
Chorochronos: a research network for spatiotemporal database systems,"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",ACM SIGMOD Record ,1999,ID984
Engineering federated information systems: report of EEFIS '99 workshop,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",ACM SIGMOD Record ,1999,ID983
First-class views: a key to user-centered computing,"Arnon Rosenthal, Edward Sciore",ACM SIGMOD Record ,1999,ID986
Cost estimation of user-defined methods in object-relational database systems,"Jihad Boulos, Kinji Ono",ACM SIGMOD Record ,1999,ID985
Distributed transactions in practice,"Prabhu Ram, Lyman Do, Pamela Drew",ACM SIGMOD Record ,1999,ID987
On mutli-resolution document transmission in mobile Web,"Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si",ACM SIGMOD Record ,1999,ID991
An overview and classification of mediated query systems,"Ruxandra Domenig, Klaus R. Dittrich",ACM SIGMOD Record ,1999,ID989
"A distributed scientific data archive using the Web, XML and SQL/MED","Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",ACM SIGMOD Record ,1999,ID988
Mining frequent patterns without candidate generation,"Jiawei Han, Jian Pei, Yiwen Yin",International Conference on Management of Data,2000,ID115
Database research at the University of Oklahoma,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",ACM SIGMOD Record ,1999,ID990
Turbo-charging vertical mining of large databases,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",International Conference on Management of Data,2000,ID117
Data mining on an OLTP system (nearly) for free,"Erik Riedel, Christos Faloutsos, Gregory R. Ganger, David F. Nagle",International Conference on Management of Data,2000,ID116
A study on data point search for HG-trees,"Joseph Kuan, Paul Lewis",ACM SIGMOD Record ,1999,ID997
The OASIS multidatabase prototype,"Mark Roantree, John Murphy, Wilhelm Hasselbring",ACM SIGMOD Record ,1999,ID1005
Efficient materialization and use of views in data warehouses,"M&#225;rcio Farias de Souza, Marcus Costa Sampaio",ACM SIGMOD Record ,1999,ID995
Design principles for data-intensive Web sites,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",ACM SIGMOD Record ,1999,ID996
"SQL: 1999, formerly known as SQL3","Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,1999,ID1008
Broadcast protocols to support efficient retrieval from databases by mobile users,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",ACM Transactions on Database Systems (TODS) ,1999,ID1266
Video anywhere: a system for searching and managing distributed heterogeneous video assets,"Amit Sheth, Clemens Bertram, Kshitij Shah",ACM SIGMOD Record ,1999,ID1006
NSF workshop on industrial/academic cooperation in database systems,"Mike Carey, Len Seligman",ACM SIGMOD Record ,1999,ID1007
Optimization of queries with user-defined predicates,"Surajit Chaudhuri, Kyuseok Shim",ACM Transactions on Database Systems (TODS) ,1999,ID1263
GlOSS: text-source discovery over the Internet,"Luis Gravano, H&#233;ctor Garc&#237;a-Molina, Anthony Tomasic",ACM Transactions on Database Systems (TODS) ,1999,ID1264
Database design for incomplete relations,"Mark Levene, George Loizou",ACM Transactions on Database Systems (TODS) ,1999,ID1268
Temporal FDs on complex objects,Jef Wijsen,ACM Transactions on Database Systems (TODS) ,1999,ID1267
Indexing large metric spaces for similarity search queries,"Tolga Bozkaya, Meral Ozsoyoglu",ACM Transactions on Database Systems (TODS) ,1999,ID1261
Specification and implementation of exceptions in workflow management systems,"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",ACM Transactions on Database Systems (TODS) ,1999,ID1262
Distance browsing in spatial databases,"G&#237;sli R. Hjaltason, Hanan Samet",ACM Transactions on Database Systems (TODS) ,1999,ID1265
Type-checking OQL queries in the ODMG type systems,Suad Alag&#237;c,ACM Transactions on Database Systems (TODS) ,1999,ID1260
The middleware muddle,David Ritter,ACM SIGMOD Record ,1998,ID1020
The Asilomar report on database research,"Phil Bernstein, Michael Brodie, Stefano Ceri, David DeWitt, Mike Franklin, Hector Garcia-Molina, Jim Gray, Jerry Held, Joe Hellerstein, H. V. Jagadish, Michael Lesk, Dave Maier, Jeff Naughton, Hamid Pirahesh, Mike Stonebraker, Jeff Ullman",ACM SIGMOD Record ,1998,ID1019
Electronic market: the roadmap for university libraries and members to survive in the information jungle,"Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann",ACM SIGMOD Record ,1998,ID1018
An anonymous electronic commerce scheme with an off-line authority and untrusted agents,"Josep Domingo-Ferrer, Jordi Herrera-Joancomart&#237;",ACM SIGMOD Record ,1998,ID1015
Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",ACM SIGMOD Record ,1999,ID999
Semantic integration of environmental models for application to global information systems and decision-making,D. Scott Mackay,ACM SIGMOD Record ,1999,ID998
Semantic interoperability in global information systems,"A. M. Ouksel, A. Sheth",ACM SIGMOD Record ,1999,ID2208
"SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)","Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,1998,ID1021
Dynamic service matchmaking among agents in open information environments,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",ACM SIGMOD Record ,1999,ID993
Contextualizing the information space in federated digital libraries,"M. P. Papazoglou, J. Hoppenbrouwers",ACM SIGMOD Record ,1999,ID992
Semantic video indexing: approach and issues,Arun Hampapur,ACM SIGMOD Record ,1999,ID1001
Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,"Ken Smith, Leo Obrst",ACM SIGMOD Record ,1999,ID1000
Report on the 13th Brazilian symposium on database systems (SBBD'98),"Mario A. Nascimento, Claudia Bauzer Medeiros",ACM SIGMOD Record ,1999,ID1004
Semantic interoperability in information services: experiencing with CoopWARE,Avigdor Gal,ACM SIGMOD Record ,1999,ID1003
Agent-based semantic interoperability in infosleuth,"Jerry Fowler, Brad Perry, Marian Nodine, Bruce Bargmeyer",ACM SIGMOD Record ,1999,ID994
Semantic integration of semistructured and structured data sources,"S. Bergamaschi, S. Castano, M. Vincini",ACM SIGMOD Record ,1999,ID1002
Keynote Address,Robert S. Epstein,International Conference on Management of Data,1995,ID507
Keynote address,Larry J. Ellison,International Conference on Management of Data,1995,ID506
Object normal forms and dependency constraints for object-oriented schemata,"Zahir Tari, John Stokes, Stefano Spaccapietra",ACM Transactions on Database Systems (TODS) ,1997,ID1282
Database design with common sense business reasoning and learning,"Veda C. Storey, Roger H. L. Chiang, Debabrata Dey, Robert C. Goldstein, Shankar Sudaresan",ACM Transactions on Database Systems (TODS) ,1997,ID1281
Inverted files versus signature files for text indexing,"Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao",ACM Transactions on Database Systems (TODS) ,1998,ID1271
Ensuring consistency in multidatabases by preserving two-level serializability,"Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz",ACM Transactions on Database Systems (TODS) ,1998,ID1277
Towards a theory of cost management for digital libraries and electronic commerce,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",ACM Transactions on Database Systems (TODS) ,1998,ID1270
Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS) ,1998,ID1269
A protein patent query system powered by Kleisli,"Jing Chen, Limsoon Wong, Louxin Zhang",International Conference on Management of Data,1998,ID280
DTL's DataSpot: database exploration as easy as browsing the Web...,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data,1998,ID279
Multiview access protocols for large-scale replication,"Xiangning Liu, Abdelsalam Helal, Weimin Du",ACM Transactions on Database Systems (TODS) ,1998,ID1276
Optimization techniques for queries with expensive methods,Joseph M. Hellerstein,ACM Transactions on Database Systems (TODS) ,1998,ID1275
MultiMediaMiner: a system prototype for multimedia data mining,"Osmar R. Za&#239;ane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",International Conference on Management of Data,1998,ID325
Xmas: an extensible main-memory storage system for high-performance applications,"Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha",International Conference on Management of Data,1998,ID324
The IDEA Web lab,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",International Conference on Management of Data,1998,ID327
SuperSQL: an extended SQL for database publishing and presentation,Motomichi Toyama,International Conference on Management of Data,1998,ID326
CONTROL: continuous output and navigation technology with refinement on-line,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",International Conference on Management of Data,1998,ID277
AMDB: an access method debugging tool,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",International Conference on Management of Data,1998,ID278
User-oriented smart-cache for the Web: what you seek is what you get!,"Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar",International Conference on Management of Data,1998,ID322
The multidimensional database system RasDaMan,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data,1998,ID323
FlowBack: providing backward recovery for workflow management systems,"Bartek Kiepuszewski, Ralf Muhlberger, Maria E. Orlowska",International Conference on Management of Data,1998,ID320
Providing database-like access to the Web using queries based on textual similarity,William W. Cohen,International Conference on Management of Data,1998,ID321
Ariadne: a system for constructing mediators for Internet sources,"Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada",International Conference on Management of Data,1998,ID276
Capability based mediation in TSIMMIS,"Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti",International Conference on Management of Data,1998,ID281
The Araneus Web-based management system,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",International Conference on Management of Data,1998,ID318
CQ: a personalized update monitoring toolkit,"Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu",International Conference on Management of Data,1998,ID274
DataSplash,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",International Conference on Management of Data,1998,ID275
Microsoft index turning wizard for SQL Server 7.0,"Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,1998,ID319
Olympic records for data at the 1998 Nagano games,Edwin R. Lassettre,International Conference on Management of Data,1998,ID316
Delivering high availability for Inktomi search engines,Eric A. Brewer,International Conference on Management of Data,1998,ID272
Microsoft.com: a high-scale data management and transaction processing solution,Sherri Kennamer,International Conference on Management of Data,1998,ID317
Free parallel data mining,"Bin Li, Dennis Shasha",International Conference on Management of Data,1998,ID273
Real business processing meets the Web,James Chong,International Conference on Management of Data,1998,ID315
"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",International Conference on Management of Data,1998,ID271
FileNet integrated document management database usage and issues,Daniel S. Whelan,International Conference on Management of Data,1998,ID270
About Quark Digital Media System,Kamar Aulakh,International Conference on Management of Data,1998,ID269
"50,000 users on an Oracle8 universal server database","Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee",International Conference on Management of Data,1998,ID268
Oracle Rdb's record caching model,"Richard Anderson, Gopalan Arun, Richard Frank",International Conference on Management of Data,1998,ID314
A data mining application: customer retention at the Port of Singapore Authority (PSA),"KianSing Ng, Huan Liu, HweeBong Kwah",International Conference on Management of Data,1998,ID313
Transactional publish/subscribe: the proactive multicast of database changes (abstract),Arvola Chan,International Conference on Management of Data,1998,ID312
The PointCast network (abstract),"Satish Ramakrishnan, Vibha Dayal",International Conference on Management of Data,1998,ID2197
Data in your face: push technology in perspective,"Michael Franklin, Stan Zdonik",International Conference on Management of Data,1998,ID267
"Ubiquitous, self-tuning, scalable servers",Peter Spiro,International Conference on Management of Data,1998,ID311
Database systems management and Oracle8,C. Gregory Doherty,International Conference on Management of Data,1998,ID266
Managing large systems with DB2 UDB,Chris Eaton,International Conference on Management of Data,1998,ID310
SQL open heterogeneous data access,"Berthold Reinwald, Hamid Pirahesh",International Conference on Management of Data,1998,ID309
Enterprise Java platform data access,"Seth White, Rick Cattell, Shel Finkelstein",International Conference on Management of Data,1998,ID265
Microsoft universal data access platform,"Jos&#233; A. Blakeley, Michael J. Pizzo",International Conference on Management of Data,1998,ID308
Java and relational databases (tutorial): SQLJ,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",International Conference on Management of Data,1998,ID307
High-dimensional index structures database support for next decade's applications (tutorial),"Stefan Berchtold, Daniel A. Keim",International Conference on Management of Data,1998,ID264
Electronic commerce: tutorial,"Nabil R. Adam, Yelena Yesha",International Conference on Management of Data,1998,ID263
SAP R/3 (tutorial): a database application system,"Alfons Kemper, Donald Kossmann, Florian Matthes",International Conference on Management of Data,1998,ID306
Are we working on the right problems? (panel),Michael Stonebraker,International Conference on Management of Data,1998,ID262
Next generation database systems won't work without semantics! (panel),John Mylopoulos,International Conference on Management of Data,1998,ID305
Memory management during run generation in external sorting,"Per-&#197;ke Larson, Goetz Graefe",International Conference on Management of Data,1998,ID303
"Replication, consistency, and practicality: are these mutually exclusive?","Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool",International Conference on Management of Data,1998,ID304
Wavelet-based histograms for selectivity estimation,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",International Conference on Management of Data,1998,ID302
Efficient transparent application recovery in client-server information systems,"David Lomet, Gerhard Weikum",International Conference on Management of Data,1998,ID261
Approximate medians and other quantiles in one pass and with limited memory,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,1998,ID260
Random sampling for histogram construction: how much is enough?,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data,1998,ID301
A multi-similarity algebra,"S. Adali, P. Bonatti, M. L. Sapino, V. S. Subrahmanian",International Conference on Management of Data,1998,ID258
Catching the boat with Strudel: experiences with a Web-site management system,"Mary Fern&#225;ndez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",International Conference on Management of Data,1998,ID259
On parallel processing of aggregate and scalar functions in object-relational DBMS,"Michael Jaedicke, Bernhard Mitschang",International Conference on Management of Data,1998,ID299
Secure and portable database extensibility,"Michael Godfrey, Tobias Mayr, Praveen Seshadri, Thorsten von Eicken",International Conference on Management of Data,1998,ID300
On random sampling over joins,"Surajit Chaudhuri, Rajeev Motwani, Vivek Narasayya",International Conference on Management of Data,1999,ID207
Random sampling techniques for space efficient online computation of order statistics of large datasets,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,1999,ID206
Ripple joins for online aggregation,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data,1999,ID209
Join synopses for approximate query answering,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999,ID208
Query optimization in the presence of limited access patterns,"Daniela Florescu, Alon Levy, Ioana Manolescu, Dan Suciu",International Conference on Management of Data,1999,ID210
An adaptive query execution system for data integration,"Zachary G. Ives, Daniela Florescu, Marc Friedman, Alon Levy, Daniel S. Weld",International Conference on Management of Data,1999,ID170
Mind your vocabulary: query mapping across heterogeneous information sources,"Chen-Chuan K. Chang, H&#233;ctor Garc&#237;a-Molina",International Conference on Management of Data,1999,ID212
Query processing techniques for arrays,"Arunprasad P. Marathe, Kenneth Salem",International Conference on Management of Data,1999,ID211
BOAT-optimistic decision tree construction,"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan, Wei-Yin Loh",International Conference on Management of Data,1999,ID166
